created,text,tweet_id,coordinates,lat,long,retwc,hashtag,username,usersince,followers,friends,authorid,authorloc,geoenable,source,is_usa_loc
2021-08-09 21:17:19,"b""Today's the start of #KidneyMarch 2021 Part 1! Between now and Day Zero of Kidney March, Thurs, Sept 9, Marchers wi\xe2\x80\xa6 https://t.co/LrHfMkEbws""",1424842248731037697,,None,None,0,KidneyMarch,kidneybcy,2011-03-22 12:01:16,1856,2430,270320906,"British Columbia, Canada",True,Twitter Web App,
2021-08-09 21:06:34,"b""RT @SarahPoko10: What better way to return from vacation than to talk about some organs! In today's #PokoPonders, I talk to Dr. Stephen Bee\xe2\x80\xa6""",1424839547259662344,,None,None,1,PokoPonders,fan uf chocolatehh,2017-07-01 15:47:07,30,256,881177352058875904,,False,Twitter for iPhone,
2021-08-09 21:01:42,b'RT @REALIDKy: Did you know you can still sign up to be an organ donor when you apply for a REAL ID?! KYTC is proud to support @TrustForLife\xe2\x80\xa6',1424838320295657472,,None,None,2,None,KyCourtClerk,2013-06-05 15:20:10,920,884,1485262692,,True,Twitter for iPhone,
2021-08-09 20:54:45,"b""RT @TheFabulousOne: Advocating for live organ donation means I have to put myself out there, even if it's uncomfortable. I did this talk a\xe2\x80\xa6""",1424836572902420488,,None,None,1,None,Gail Rae-Garwood,2011-07-12 05:16:26,594,225,333845683,AZ.,True,Twitter for iPhone,
2021-08-09 20:37:51,b'@_ginlane @SolarJones3000 @carolinefff @oflynnsocial Do you not understand the massive savings that can be made by\xe2\x80\xa6 https://t.co/2d9yuE05nz',1424832320566185985,,None,None,0,None,Anne Jackson,2012-08-04 21:31:06,234,54,737449513,,False,Twitter Web App,
2021-08-09 20:35:53,"b""What better way to return from vacation than to talk about some organs! In today's #PokoPonders, I talk to Dr. Step\xe2\x80\xa6 https://t.co/DRWLQKLtQH""",1424831822295412736,,None,None,1,PokoPonders,Sarah Poko,2012-03-01 13:25:39,290,1149,510236962,"Halifax, Nova Scotia",True,Twitter Web App,
2021-08-09 20:21:48,b'@CarolynEast2 I didn\xe2\x80\x99t even think about the wait lists for organ donation being affected by covid.',1424828277575716868,,None,None,0,None,Ms. Wear the Mask!,2013-06-16 09:11:31,287,1082,1521664902,,True,Twitter for iPhone,
2021-08-09 20:16:53,b'RT @NHSOrganDonor: Save the date!\n\nThe BIGGEST ever Organ Donation Week is coming...\n\n20th - 26th September 2021 \xf0\x9f\x92\x97 https://t.co/6H7Q5yrWaI',1424827041988452358,,None,None,86,None,Rob  Wilson,2011-08-03 11:52:54,3326,257,347810094,Scotland,False,Twitter for Android,
2021-08-09 20:14:08,"b""Voting is open for @jviscomm Reader's Choice Awards \xe2\x80\x9821 \xf0\x9f\x97\xb3 \n\nRead &amp; vote for my article \xe2\x80\x9cCystic Fibrosis: A Pocket G\xe2\x80\xa6 https://t.co/xxpajP2kyQ""",1424826349173235713,,None,None,0,None,Mark 💀👨🏻‍🎨 (he/him/his),2009-02-01 21:22:19,824,598,19877659,Liverpool ,True,Twitter for iPhone,
2021-08-09 20:07:52,"b'Beautiful artwork Imaan, with a powerful reminder of the importance of organ donation! https://t.co/m0F4iQOCVJ'",1424824772865761288,,None,None,0,None,Gronya 💙,2012-04-19 22:10:31,531,971,558099584,"London, England",False,Twitter for iPhone,
2021-08-09 19:49:02,"b'Ugandan cabinet approves human organ donation, trade bill\n\nhttps://t.co/QKACUFbIML\n\nSource: Xinhua|\xc2\xa02020-06-04 21:3\xe2\x80\xa6 https://t.co/QSYCNYWGmn'",1424820034640089115,,None,None,0,None,Martha Leah Nangalama,2012-05-12 20:03:03,4474,2107,578353910,"Moncton, Canada",False,dlvr.it,
2021-08-09 19:43:53,"b""RT @Vasuragh: Kidney Warriors Foundation can't ignore needs of young parents struggling to manage their babies who face some kind of kidney\xe2\x80\xa6""",1424818737312501762,,None,None,4,None,Marshneil,2009-06-04 08:38:34,66,126,44575769,India,False,Twitter for Android,
2021-08-09 19:42:54,b'RT @NHSOrganDonor: Save the date!\n\nThe BIGGEST ever Organ Donation Week is coming...\n\n20th - 26th September 2021 \xf0\x9f\x92\x97 https://t.co/6H7Q5yrWaI',1424818488884047873,,None,None,86,None,Tony Delaney,2021-01-03 14:34:34,33,79,1345740290200662017,,False,Twitter Web App,
2021-08-09 19:36:41,"b'We used @VeteransHealth data, @CDCgov MCOD data, and @UNOSNews data to describe historical VAMC donation and evalua\xe2\x80\xa6 https://t.co/hHsMcXluRN'",1424816924475674625,,None,None,0,None,Brianna Doby,2014-01-03 18:44:30,861,339,2274926948,,True,Twitter Web App,
2021-08-09 19:34:10,"b""RT @kidneycareuk: Have you, or your friends/family, ever wanted to know what's involved with going on to the organ donation waiting list? I\xe2\x80\xa6""",1424816293857927168,,None,None,4,None,Liz Lightstone 💙,2014-08-12 13:02:09,8066,4813,2740752309,"London, UK",False,Twitter for iPhone,
2021-08-09 19:31:45,"b""RT @DonateLifeCO: It's important to say yes to organ, eye and tissue donation. While transplant matches are not made based on ethnicity, tr\xe2\x80\xa6""",1424815682437455876,,None,None,2,None,KODA,2011-11-23 13:02:56,1628,1268,419516844,Kentucky,True,Twitter for iPhone,KY
2021-08-09 19:24:32,b'This and organ donation are basically the two automatic \xe2\x80\x9cget out of hell free\xe2\x80\x9d cards. https://t.co/e5LkoiDjHB',1424813869382307840,,None,None,0,None,Bill Tallman بيل طولمان,2009-04-30 17:54:45,377,1202,36725651,"Miami Springs, FL 33166",False,Tweetbot for iΟS,FL
2021-08-09 19:20:57,"b""#Organ donation &amp; #Cellular Memory Phenomena-Read 1st #thriller to explore #mystery 'Haunted from Within' https://t.co/dcmRj4fpIb #goodread""",1424812965925212163,,None,None,0,Organ,Ian Irvine,2013-02-04 14:55:04,96,101,1148221298,,False,Dynamic Tweets,
2021-08-09 19:10:04,"b'RT @pradipsinhbjp: ""\xe0\xa4\x85\xe0\xa4\x82\xe0\xa4\x97\xe0\xa4\xa6\xe0\xa4\xbe\xe0\xa4\xa8 \xe0\xa4\xae\xe0\xa4\xb9\xe0\xa4\xbe\xe0\xa4\xa6\xe0\xa4\xbe\xe0\xa4\xa8""\n\nWith organ donation you can save upto eight lives.\n\nLet us all help everyone need and put an end to the\xe2\x80\xa6'",1424810227287805953,,None,None,135,None,Yash_Vala 🇮🇳,2019-07-30 08:44:01,271,336,1156123267209388032,Rajkot India,False,Twitter for Android,
2021-08-09 18:56:09,b'my lesbian cousin and her gf over hype the  literal bare minimum making toaster waffles for dinner sound like organ donation',1424806723810906116,,None,None,0,None,t,2018-12-10 21:17:10,58,141,1072238818202435584,Eric Formans basement ,False,Twitter for iPhone,
2021-08-09 18:50:57,b'RT @REALIDKy: Did you know you can still sign up to be an organ donor when you apply for a REAL ID?! KYTC is proud to support @TrustForLife\xe2\x80\xa6',1424805415569797120,,None,None,2,None,KODA,2011-11-23 13:02:56,1628,1268,419516844,Kentucky,True,Twitter for iPhone,KY
2021-08-09 18:49:12,"b'RT @LifeShareOK: Larantino was a proud dad. Through organ donation, he saved 5 lives.\n\nAugust is National Multicultural Donor Awareness Mon\xe2\x80\xa6'",1424804976220688394,,None,None,1,None,Liz H 💚🫀💙,2014-04-25 12:10:40,230,703,2463130045,Memphis TN,False,Twitter for iPhone,TN
2021-08-09 18:47:24,b'RT @HebertAudrey3: Our NICU experience with potential organ donation after DCD. Curious to know if anyone has experience with this in the N\xe2\x80\xa6',1424804524611575808,,None,None,7,None,NeoTwiter,2020-12-11 16:48:43,667,2,1337439132231081985,,False,NeoTwiter,
